,carbon_dioxide
1934,1.919118463266432
1935,1.967641482567518
1936,2.075706355443652
1937,2.133841395270378
1938,2.067020995496813
1939,2.136713137308311
1940,2.22410468670008
1941,2.2315541647421053
1942,2.254485103111349
1943,2.2931597009531393
1944,2.284328464059753
1945,2.0780069813250743
1946,2.2752620213202914
1947,2.4614789704828155
1948,2.5614012227761567
1949,2.5451422372395687
1950,2.738832816124462
1951,3.0785796832915184
1952,3.1407672825213133
1953,3.1918898664951962
1954,3.2952630223619073
1955,3.5236711077033633
1956,3.7342112680287323
1957,3.8590517028248663
1958,3.9923658445100445
1959,4.0739462474808
1960,4.186477649585419
1961,4.279693641040164
1962,4.385462710216055
1963,4.559595808263591
1964,4.707915551242893
1965,4.887384149202872
1966,5.049278099328842
1967,5.217483496879442
1968,5.377107433891195
1969,5.600609454409158
1970,5.850567639951095
1971,5.910873383221351
1972,6.028407773433991
1973,6.28879677814163
1974,6.233503611547131
1975,6.226638497817071
1976,6.509441845370491
1977,6.710934165735673
1978,6.875375323152308
1979,6.977235425657297
1980,6.8893426418242125
1981,6.786494118379578
1982,6.729786830292003
1983,6.910327762681057
1984,7.074334665349413
1985,7.172661563588447
1986,7.308357638901517
1987,7.451534594939323
1988,7.642089163919641
1989,7.7368037032531465
1990,7.625553958079965
1991,7.820474200313488
1992,7.8224513487499925
1993,7.73367751363726
1994,7.7373366595440425
1995,7.856919525716474
1996,7.974927490769802
1997,8.750595705950731
1998,8.124934373680086
1999,7.958127751906597
2000,8.087765547439753
2001,7.912295445151248
2002,8.161798307793505
2003,8.318797918806005
2004,8.843487910624885
2005,9.111555516870457
2006,9.442908147308138
2007,9.639327281208887
2008,9.393649752473785
2009,9.332076659629745
2010,9.852443369831498
2011,10.16115317240512
2012,10.348714893866479
2013,10.569246361056305
2014,10.805984472785562
2015,10.675589992741363
2016,10.75710620804439
2017,10.838622423347417
2018,10.920138638650444
2019,11.00165485395347
2020,11.083171069256498
2021,11.160295340720996
2022,11.237419612185496
2023,11.314543883649995
2024,11.391668155114493
2025,11.468792426578993
2026,11.545916698043492
2027,11.62304096950799
2028,11.700165240972488
2029,11.777289512436989
2030,11.854413783901487
2031,11.875595446582626
2032,11.896777109263766
2033,11.917958771944905
2034,11.939140434626045
2035,11.960322097307184
2036,11.981503759988323
2037,12.002685422669463
2038,12.023867085350602
2039,12.045048748031743
2040,12.066230410712881
2041,12.044670492818735
2042,12.02311057492459
2043,12.001550657030444
2044,11.9799907391363
2045,11.958430821242153
2046,11.936870903348007
2047,11.915310985453862
2048,11.893751067559716
2049,11.872191149665571
2050,11.850631231771425
2051,11.761586781518025
2052,11.672542331264625
2053,11.583497881011224
2054,11.494453430757824
2055,11.405408980504424
2056,11.316364530251024
2057,11.227320079997623
2058,11.138275629744223
2059,11.049231179490823
2060,10.960186729237423
2061,10.824916078999804
2062,10.689645428762187
2063,10.554374778524569
2064,10.41910412828695
2065,10.283833478049331
2066,10.148562827811714
2067,10.013292177574096
2068,9.878021527336477
2069,9.74275087709886
2070,9.607480226861242
2071,9.378521527844377
2072,9.149562828827511
2073,8.920604129810645
2074,8.69164543079378
2075,8.462686731776916
2076,8.23372803276005
2077,8.004769333743184
2078,7.775810634726319
2079,7.546851935709454
2080,7.317893236692589
2081,7.031213430724119
2082,6.7445336247556495
2083,6.45785381878718
2084,6.17117401281871
2085,5.88449420685024
2086,5.597814400881771
2087,5.311134594913302
2088,5.024454788944832
2089,4.737774982976362
2090,4.451095177007892
2091,4.2700036223351425
2092,4.088912067662394
2093,3.9078205129896437
